id,tipo,texto,documento_id,posicion_en_documento
d1cb90a9-dc68-4eeb-a517-9cdabab0c787,oracion,Publicación Diario Oficial No.,1,0
b4b8ad71-bb3a-4c58-9eb5-8a3cbe897a63,oracion,": , el día: Publicada en la WEB CREG",1,1
983b452b-abe9-4397-86e4-bb107c68112b,oracion,el: Resolución No.,1,2
a80456cf-be82-4372-ac62-8cca179f5b16,oracion,071 Diciembre 03 de 1999 Por la cual se establece el Reglamento Unico de Transporte de Gas Natural RUT.,1,3
04b04705-8164-4058-8340-8d50cfbb6ff0,oracion,"Notas de Vigencia:  Modificada por la Resolución 187 de 2009, publicada en el Diario Oficial No.",1,4
cd169451-70a4-46f0-aeba-5064d3f5a93d,oracion,"47.578 de 30 de diciembre de 2009, Por la cual se complementa el numeral 6.3 del RUT, modificado mediante la Resolución CREG 054 de 2007.",1,5
3fa10299-0969-4e29-9480-16b2fb9331f5,oracion,"Modificada por la Resolución 131 de 2009, publicada en el Diario Oficial No.",1,6
b96e58e6-dc7d-47b4-9203-76eb82e76ff3,oracion,"47.497 de 9 de octubre de 2009, Por la cual se modifica el numeral 6.3.2 del Reglamento Unico de Transporte de Gas Natural, modificado mediante la Resolución CREG 054 de 2007.",1,7
d716f419-b1d1-43aa-9847-6b90105bc477,oracion,"Modificada por la Resolución 77 de 2008, publicada en el Diario Oficial No.",1,8
8d06f777-9a27-47b5-914d-b2b75dc8d6f7,oracion,"47.323 de 17 de abril de 2009, Por la cual se modifica el numeral 4.6.2 del RUT y el literal i del artículo 2o de la Resolución CREG 063 de 2000.",1,9
b7e71b1d-bf82-426a-8037-8786572668a2,oracion,"Modificada por la Resolución 154 de 2008, publicada en el Diario Oficial No.",1,10
b2c6a4f0-a131-449d-b3be-3bb7b7fa30a0,oracion,"47.201 de 12 de diciembre de 2008, Por la cual se modifican los numerales 4.5.1 y 4.5.2 del Anexo General de la Resolución CREG 071 de 1999.",1,11
7660e679-9703-44aa-a6f9-940c905fa466,oracion,"Modificada por la Resolución 41 de 2008, publicada en el Diario Oficial No.",1,12
598956a1-17ed-438b-9fb5-c1009df97be0,oracion,"47.022 de 16 de junio de 2008, Por la cual se modifica y complementa el Reglamento Único de Transporte de Gas Natural RUT.",1,13
0cf4db3b-cd27-4568-821b-31e5692b7645,oracion,"Modificada por la Resolución 54 de 2007, publicada en el Diario Oficial No.",1,14
9aaa41a0-52ed-4214-b830-e1ea39b43628,oracion,"46.701 de 26 de julio de 2007, Por la cual se complementan las especificaciones de calidad del gas natural inyectado al Sistema Nacional de Transporte, definidas en la Resolución CREG 071 de 1999.",1,15
1bb9cfac-eed5-4b9c-8ddc-7df870f1842d,oracion,"Modificada por la Resolución 14 de 2003, publicada en el Diario Oficial No.",1,16
0fdd7854-9a88-4859-a9e1-fb0046c0e605,oracion,"45.132, de 19 de marzo de 2003, Por la cual se modifican los numerales 4.5.1 y 4.5.2 de la Resolución CREG071 de 1999.",1,17
49a66bc3-4046-46c3-88a8-2fef3151c83d,oracion,"Ver Resolución 11 de 2003, publicada en el Diario Oficial No.",1,18
741aa80c-520d-4f36-a9d6-35ba98fec93c,oracion,"45.118 de 6 de marzo de 2003, Por la cual se establecen los criterios generales para remunerar las actividades de distribución y comercialización de gas combustible, y las fórmulas generales para la prestación del servicio público domiciliario de distribución de gas combustible por redes de tubería.",1,19
e0ffd610-86b5-4582-a79c-6dfedd279bab,oracion,"Modificada por la Resolución 102 de 2001, publicada en el Diario Oficial No 44.531, de 25 de agosto de 2001, por la cual se amplían plazos esta blecidos en el Reglamento Unico de Transporte de Gas Natural, RUT, y en la Resolución CREG028 de 2001.",1,20
54060a17-b6ae-42b1-bc90-32b2f210550d,oracion,"Modificada por la Resolución 28 de 2001, publicada en el Diario Oficial No.",1,21
24f0835c-ac90-4cb9-9af9-12b226f583c1,oracion,"44.349, del 7 de marzo de 2001, por la cual se amplían y se fijan plazos establecidos en el Reglamento Unico de Transporte de Gas Natural RUT.",1,22
733d7e08-7c9d-4c5f-bc18-6057858224d5,oracion,"Modificada por la Resolución CREG084 de 2000, Por la cual se incluyen nuevas definiciones en la Resolución CREG071 de 1999.",1,23
8e352f35-f7bf-430b-8870-849876ada7aa,oracion,Modificada parcialmente : Resolución CREG 10201 Resolución CREG 01403 Sobre.el.,1,24
f5f0944b-73c9-4a0f-a5e9-88f2934ee479,oracion,Mismo.,1,25
b1b45796-9bc3-44a6-b9db-fe15516ede2d,oracion,Tema.,1,26
3b679e83-fb40-48d9-ac25-9b3c94abf3e9,oracion,Ver : ResoluciónCRG5796 ResoluciónCREG0672000 Proyecto.de.,1,27
3783805e-6c87-4be2-824b-e776b1705056,oracion,Modificación : ResoluciónCREG0202007.,1,28
c7bf5a36-e956-4e4b-9c5d-ae9c22b5e8f6,oracion,Adicionado : ResoluciónCREG0542007.,1,29
e3b87937-4975-4a38-9ce6-970a424701e2,oracion,"LA COMISIÓN DE REGULACIÓN DE ENERGÍA Y GAS en ejercicio de sus atribuciones legales, en especial las conferidas por las Leyes 142 de 1994 y 401 de 1997, los Decretos 1542 y 2253 de 1994 y 1175 de 1999 y, Ver : LeyesLey142Art:14 Art:28 Art:67 Art:7374 Ley401Art:3 DecretosDec1175 CONSIDERANDO: Que de acuerdo con lo establecido en el Artículo 14 de la Ley 142 de 1994, la actividad de transporte de gas natural es una actividad complementaria del servicio público domiciliario de gas natural; Que según el Artículo 3ş de la Ley 401 de 1997, es función de la CREG establecer las reglas y condiciones operativas que debe cumplir toda la infraestructura del Sistema Nacional de Transporte a través del Reglamento Único de Transporte de Gas Natural; Que la CREG estableció en la Resolución CREG057 de 1996, las bases para desarrollar un Código de Transporte; Que según lo dispuesto en el Artículo 28 de la Ley 142 de 1994 la construcción y operación de redes para el transporte y distribución de gas se regirá exclusivamente por esta Ley y por las normas sanitarias y municipales a las que se alude en los Artículos 25 y 26 de la misma Ley; Que de acuerdo con el Artículo 67 de la Ley 142 de 1994, es competencia de los Ministerios, seńalar los requisitos técnicos que deben cumplir las obras, equipos y procedimientos que utilicen las Empresas de Servicio Público del sector, cuando la comisión respectiva haya resuelto por vía general que ese seńalamiento es realmente necesario para garantizar la calidad del servicio, y que no implica restricción indebida de la competencia; Que de acuerdo con el Artículo 73 de la Ley 142 de 1994, es función de las Comisiones fijar normas de calidad a las que deben ceńirse las Empresas de Servicios Públicos, y determinar para cada bien o servicio público unidades de medida y de tiempo que deben utilizarse al definir el consumo; Que según lo dispuesto en el Artículo 73 de la Ley 142 de 1994, corresponde a las Comisiones regular los monopolios en la prestación de los servicios públicos, cuando la competencia no sea, de hecho, posible; y, en los demás casos, la de promover la competencia entre quienes prestan servicios públicos, para que las operaciones de los monopolistas o de los competidores sean económicamente eficientes, no impliquen abuso de posición dominante, y produzcan servicios de calidad; Que de acuerdo con lo establecido en el Artículo 74 de la Ley 142 de 1994, es función de la Comisión de Regulación de Energía y Gas regular el ejercicio de las actividades de los sectores de energía y gas combustible para asegurar la disponibilidad de una oferta energética eficiente, propiciar la competencia en el sector de minas y energía y proponer la adopción de las medidas necesarias para impedir abusos de posición dominante y buscar la liberación gradual de los mercados hacia la libre competencia; Que mediante el Decreto 1175 de 1999, por el cual se reestructuró la Empresa Colombiana de Gas ECOGAS, se suprimió el Centro de Coordinación de Transporte de Gas Natural CTG, creado por la Ley 401 de 1997, se derogaron las normas pertinentes a dicho Centro, y se dispuso que el Consejo Nacional de Operación cumplirá las funciones de asesoría en la forma como lo establezca el Reglamento Único de Transporte; Que de acuerdo con lo establecido en el Artículo 978 del Código de Comercio, cuando la prestación de un servicio público esta regulada por el Gobierno, las condiciones de los contratos deberán sujetarse a los respectivos reglamentos; Que el Consejo Nacional de Operación en su reunión No.",1,30
a2d45772-7752-4fa9-976a-ccb089eecdbf,oracion,"86 acordó solicitarle a la CREG revisar las causales de redespacho, en especial las relacionadas con accidentes en Sistemas de Transporte de gas.",1,31
